DepComN;NomCN;DepComA;NomCA;ChefLieu;ComDLG;Date1;Date2;Date3;;;;;;;;;;;;;;;;;
01095;Nivigne et Suran;01095;Chavannes-sur-Suran;O;O;20/05/2016;;20/07/2016;;;;;;;;;;;;;;;;;
01095;Nivigne et Suran;01172;Germagnat;N;O;20/05/2016;;20/07/2016;;;;;;;;;;;;;;;;;
01098;Chazey-Bons;01098;Chazey-Bons;O;O;30/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
01098;Chazey-Bons;01316;Pugieu;N;O;30/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
03168;Meaulne-Vitray;03168;Meaulne;O;O;19/07/2016;;28/10/2016;;;;;;;;;;;;;;;;;
03168;Meaulne-Vitray;03318;Vitray;N;O;19/07/2016;;28/10/2016;;;;;;;;;;;;;;;;;
04033;Ubaye-Serre-Ponçon;04033;Bréole (La);O;O;16/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
04033;Ubaye-Serre-Ponçon;04198;Saint-Vincent-les-Forts;N;O;16/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
05101;Vallouise-Pelvoux;05101;Pelvoux;O;O;05/09/2016;;22/10/2016;;;;;;;;;;;;;;;;;
05101;Vallouise-Pelvoux;05175;Vallouise;N;O;05/09/2016;;22/10/2016;  ;;;;;;;;;;;;;;;;
08053;Bazeilles;08053;Bazeilles;O;O;15/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
08053;Bazeilles;08371;Rubécourt-et-Lamécourt;N;O;15/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
08053;Bazeilles;08475;Villers-Cernay;N;O;15/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
08490;Vouziers;08490;Vouziers;O;O;09/05/2016;01/06/2016;20/07/2016;;;;;;;;;;;;;;;;;
08490;Vouziers;08443;Terron-sur-Aisne;N;O;09/05/2016;01/06/2016;20/07/2016;;;;;;;;;;;;;;;;;
08490;Vouziers;08493;Vrizy;N;O;09/05/2016;01/06/2016;20/07/2016;;;;;;;;;;;;;;;;;
08491;Vrigne aux Bois;08491;Vrigne-aux-Bois;O;O;15/11/2016;;18/01/2017;;;;;;;;;;;;;;;;;
08491;Vrigne aux Bois;08072;Bosseval-et-Briancourt;N;O;15/11/2016;;18/01/2017;;;;;;;;;;;;;;;;;
09062;Bordes-Uchentein;09062;Bordes-sur-Lez (Les);O;O;04/08/2016;;26/10/2016;;;;;;;;;;;;;;;;;
09062;Bordes-Uchentein;09317;Uchentein;N;O;04/08/2016;;26/10/2016;;;;;;;;;;;;;;;;;
12090;Druelle Balsac ;12090;Druelle;O;O;06/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
12090;Druelle Balsac ;12020;Balsac;N;O;06/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14005;Valambray;14005;Airan;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14005;Valambray;14074;Billy;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14005;Valambray;14176;Conteville;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14005;Valambray;14268;Fierville-Bray;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14005;Valambray;14517;Poussy-la-Campagne;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14011;Aurseulles;14011;Anctoville;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14011;Aurseulles;14376;Longraye;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14011;Aurseulles;14581;Saint-Germain-d'Ectot;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14011;Aurseulles;14695;Torteval-Quesnay;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14027;Monts d'Aunay (Les);14027;Aunay-sur-Odon;O;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14027;Monts d'Aunay (Les);14056;Bauquay;N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14027;Monts d'Aunay (Les);14128;Campandré-Valcongrain;N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14027;Monts d'Aunay (Les);14219;Danvou-la-Ferrière;N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14027;Monts d'Aunay (Les);14477;Ondefontaine;N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14027;Monts d'Aunay (Les);14508;Plessis-Grimoult (Le);N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14027;Monts d'Aunay (Les);14544;Roucamps;N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14098;Thue et Mue;14098;Bretteville-l'Orgueilleuse;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14098;Thue et Mue;14109;Brouay;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
